N;Готовый продукт;Ингредиент;Расходный коэффициент;Техкарта
45;Рулон г/к|4 - 10|900 - 924|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
46;Рулон г/к|4 - 10|925 - 949|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
47;Рулон г/к|4 - 10|950 - 974|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
48;Рулон г/к|4 - 10|975 - 999|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
49;Рулон г/к|1,5 - 1,9|1000 - 1111|КК;Сляб;1,051;Стан прокатки №2 (Линия А)
50;Рулон г/к|1,5 - 1,9|1112 - 1224|КК;Сляб;1,051;Стан прокатки №2 (Линия А)
51;Рулон г/к|1,5 - 1,9|1225 - 1336|КК;Сляб;1,051;Стан прокатки №2 (Линия А)
52;Рулон г/к|1,5 - 1,9|1337 - 1450|КК;Сляб;1,051;Стан прокатки №2 (Линия А)
45;Рулон г/к|2 - 3,9|1000 - 1111|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
46;Рулон г/к|2 - 3,9|1112 - 1224|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
47;Рулон г/к|2 - 3,9|1225 - 1336|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
48;Рулон г/к|2 - 3,9|1337 - 1450|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
49;Рулон г/к|4 - 10|1000 - 1111|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
50;Рулон г/к|4 - 10|1112 - 1224|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
51;Рулон г/к|4 - 10|1225 - 1336|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
52;Рулон г/к|4 - 10|1337 - 1450|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
53;Рулон г/к|2 - 3,9|1000 - 1111|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
54;Рулон г/к|2 - 3,9|1112 - 1224|КК;Сляб;1,051;Стан прокатки №2 (Линия А)
55;Рулон г/к|2 - 3,9|1225 - 1336|КК;Сляб;1,051;Стан прокатки №2 (Линия А)
56;Рулон г/к|2 - 3,9|1337 - 1450|КК;Сляб;1,051;Стан прокатки №2 (Линия А)
57;Рулон г/к|4 - 10|1000 - 1111|КК;Сляб;1,051;Стан прокатки №2 (Линия А)
58;Рулон г/к|4 - 10|1112 - 1224|КК;Сляб;1,051;Стан прокатки №2 (Линия А)
59;Рулон г/к|4 - 10|1225 - 1336|КК;Сляб;1,051;Стан прокатки №2 (Линия А)
60;Рулон г/к|4 - 10|1337 - 1450|КК;Сляб;1,051;Стан прокатки №2 (Линия А)
61;Рулон г/к|10,1 - 12|1000 - 1111|КК;Сляб;1,051;Стан прокатки №2 (Линия А)
62;Рулон г/к|10,1 - 12|1112 - 1224|КК;Сляб;1,051;Стан прокатки №2 (Линия А)
63;Рулон г/к|10,1 - 12|1225 - 1336|КК;Сляб;1,051;Стан прокатки №2 (Линия А)
64;Рулон г/к|10,1 - 12|1337 - 1450|КК;Сляб;1,051;Стан прокатки №2 (Линия А)
65;Рулон г/к|2 - 3,9|1451 - 1674|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
66;Рулон г/к|2 - 3,9|1675 - 1899|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
67;Рулон г/к|2 - 3,9|1900 - 2124|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
68;Рулон г/к|2 - 3,9|2125 - 2350|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
69;Рулон г/к|4 - 10|1451 - 1674|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
70;Рулон г/к|4 - 10|1675 - 1899|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
71;Рулон г/к|4 - 10|1900 - 2124|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
72;Рулон г/к|4 - 10|2125 - 2350|КК;Сляб;1,051;Стан прокатки №1 (Линия А)
73;Подкат|2|08Ю;Сляб;1,053;Стан прокатки №1 (Линия А)
74;Подкат|2|3Сп;Сляб;1,051;Стан прокатки №1 (Линия А)
75;Подкат|2,1|08Ю;Сляб;1,053;Стан прокатки №1 (Линия А)
76;Подкат|2,1|3Сп;Сляб;1,051;Стан прокатки №1 (Линия А)
77;Подкат|2,2|3Сп;Сляб;1,051;Стан прокатки №1 (Линия А)
78;Подкат|2,3|08Ю;Сляб;1,053;Стан прокатки №1 (Линия А)
79;Подкат|2,3|3Сп;Сляб;1,051;Стан прокатки №1 (Линия А)
80;Подкат|2,5|08Ю;Сляб;1,053;Стан прокатки №1 (Линия А)
81;Подкат|2|08Ю;Сляб;1,053;Стан прокатки №2 (Линия А)
82;Подкат|2|3Сп;Сляб;1,051;Стан прокатки №2 (Линия А)
83;Подкат|2,1|08Ю;Сляб;1,053;Стан прокатки №2 (Линия А)
84;Подкат|2,1|3Сп;Сляб;1,051;Стан прокатки №2 (Линия А)
85;Подкат|2,2|3Сп;Сляб;1,051;Стан прокатки №2 (Линия А)
86;Подкат|2,3|08Ю;Сляб;1,053;Стан прокатки №2 (Линия А)
87;Подкат|2,3|3Сп;Сляб;1,051;Стан прокатки №2 (Линия А)
88;Подкат|2,5|08Ю;Сляб;1,053;Стан прокатки №2 (Линия А)
89;Рулон х/к|0,45 - 0,5|1000 - 1200|08Ю;Подкат|2|08Ю;1,053;Стан прокатки №3 (Линия Б)
90;Рулон х/к|0,51 - 0,6|1000 - 1200|08Ю;Подкат|2,1|08Ю;1,053;Стан прокатки №3 (Линия Б)
91;Рулон х/к|0,61 - 0,79|1000 - 1200|08Ю;Подкат|2,3|08Ю;1,053;Стан прокатки №3 (Линия Б)
92;Рулон х/к|0,8 - 0,99|1000 - 1200|08Ю;Подкат|2,5|08Ю;1,053;Стан прокатки №3 (Линия Б)
93;Рулон х/к|0,45 - 0,5|1000 - 1200|3Сп;Подкат|2|3Сп;1,051;Стан прокатки №3 (Линия Б)
94;Рулон х/к|0,51 - 0,6|1000 - 1200|3Сп;Подкат|2,1|3Сп;1,051;Стан прокатки №3 (Линия Б)
95;Рулон х/к|0,61 - 0,79|1000 - 1200|3Сп;Подкат|2,2|3Сп;1,051;Стан прокатки №3 (Линия Б)
96;Рулон х/к|0,8 - 0,99|1000 - 1200|3Сп;Подкат|2,3|3Сп;1,051;Стан прокатки №3 (Линия Б)
97;Калибр-10х10;Сляб;1,053;Стан прокатки №1 (Линия А)
98;Калибр-12х12;Сляб;1,053;Стан прокатки №2 (Линия А)
99;Калибр-16х16;Сляб;1,053;Стан прокатки №1 (Линия А)
100;Калибр-20х20;Сляб;1,053;Стан прокатки №2 (Линия А)
101;Калибр-25х25;Сляб;1,053;Стан прокатки №1 (Линия А)
102;Калибр-30х30;Сляб;1,053;Стан прокатки №2 (Линия А)
103;Калибр-40х40;Сляб;1,053;Стан прокатки №1 (Линия А)
104;Калибр-50х50;Сляб;1,053;Стан прокатки №3 (Линия Б)
105;Полоса-20х4;Сляб;1,053;Стан прокатки №3 (Линия Б)
106;Полоса-30х5;Сляб;1,053;Стан прокатки №3 (Линия Б)
