Name;Preform;Hmin;Hmax;Bmin;Bmax;SteelGradeGroup
Рулон г/к|4 - 10|1675 - 1899|КК;Рулон г/к;4;10;1675;1899;2
Рулон г/к|4 - 10|1900 - 2124|КК;Рулон г/к;4;10;1900;2124;2
Рулон г/к|4 - 10|2125 - 2350|КК;Рулон г/к;4;10;2125;2350;2
Подкат|2|08Ю;Подкат;2;2;1000;1200;1
Подкат|2|3Сп;Подкат;2;2;1000;1200;2
Подкат|2,1|08Ю;Подкат;2,1;2,1;1000;1200;1
Подкат|2,1|3Сп;Подкат;2,1;2,1;1000;1200;2
Подкат|2,2|3Сп;Подкат;2,2;2,2;1000;1200;2
Подкат|2,3|08Ю;Подкат;2,3;2,3;1000;1200;1
Подкат|2,3|3Сп;Подкат;2,3;2,3;1000;1200;2
Подкат|2,5|08Ю;Подкат;2,5;2,5;1000;1200;1
Рулон х/к|0,45 - 0,5|1000 - 1200|08Ю;Рулон х/к;0,45;0,5;1000;1200;1
Рулон х/к|0,51 - 0,6|1000 - 1200|08Ю;Рулон х/к;0,51;0,6;1000;1200;1
Рулон х/к|0,61 - 0,79|1000 - 1200|08Ю;Рулон х/к;0,61;0,79;1000;1200;1
Рулон х/к|0,8 - 0,99|1000 - 1200|08Ю;Рулон х/к;0,8;0,99;1000;1200;1
Рулон х/к|0,45 - 0,5|1000 - 1200|3Сп;Рулон х/к;0,45;0,5;1000;1200;2
Рулон х/к|0,51 - 0,6|1000 - 1200|3Сп;Рулон х/к;0,51;0,6;1000;1200;2
Рулон х/к|0,61 - 0,79|1000 - 1200|3Сп;Рулон х/к;0,61;0,79;1000;1200;2
Рулон х/к|0,8 - 0,99|1000 - 1200|3Сп;Рулон х/к;0,8;0,99;1000;1200;2
